,0,1,2,3,4,5,6,7,8,9,10
10,11,(2015),电影,小王子 The Little Prince ,马克·奥斯本,杰夫·布里吉斯 / 麦肯吉·弗依 / 瑞秋·麦克亚当斯 / 瑞利·奥斯本 / 詹姆斯·弗兰科 / 玛丽昂·歌迪亚 / 本尼西奥·德尔·托罗 / 保罗·路德 / 艾伯特·布鲁克斯 / 巴德·库特 / 瑞奇·热维斯 / 保罗·吉亚玛提 / 杰奎·巴恩布鲁克 /,动画 / 奇幻,法国,高清中字,2015-10-16(中国大陆) / 2015-07-29(法国),豆瓣：8.3 
11,12,(2015),电影,既然青春留不住 ,田蒙,张翰 / 陈乔恩 / 王啸坤 / 施予斐 / 郭子千 / 陈雅澜 / 廖娟 / 曹汉超 / 贾盛强 / 刘挺 / 林晓凡 / 王迅 / 倪景阳 / 花粥,喜剧 / 爱情,中国大陆,高清,2015-10-23(中国大陆),豆瓣：4.5 
12,13,(2015),电影,新娘大作战 ,陈国辉,杨颖 / 倪妮 / 陈晓 / 朱亚文 / 何炅 / 刘金山 / 王一楠 / 奚望 / 井柏然 / 杜海涛 / 黄晓明 / 冯绍峰,喜剧 / 爱情,中国大陆 / 香港,高清,2015-08-20(中国大陆),豆瓣：4.0 
13,14,(2015),电视剧,行尸走肉 第六季 The Walking Dead Season 6 ,格里高利·尼克特洛,安德鲁·林肯 / 诺曼·瑞杜斯 / 奥斯汀·艾布拉姆斯 / 阿丽克丝·布莱肯瑞吉 / 劳伦·科汉 / 迈克尔·库立兹 / 托芙·菲尔德舒 / 塞斯·吉列姆 / 丹娜·奎里拉 / 连尼·詹姆斯 / 罗斯·马昆德 / 索尼夸·马丁-格林 / 阿兰娜·莫特森 /,剧情 / 恐怖,美国,16集已完结,2015-10-12(美国),豆瓣：9.3 
14,15,(2015),电视剧,血族 第二季 The Strain Season 2 ,格里高利·霍布里特,寇瑞·斯托尔 / 大卫·布拉德利 / 米娅·梅斯特罗 / 乔纳森·海德 / 理查德·塞梅尔 / 凯文·杜兰 / 罗恩·坎纳达 / 麦克斯·查尔斯,剧情 / 恐怖,美国,13集已完结,2015-07-12(美国),豆瓣：7.2 
15,16,(2015),电视剧,蜀山战纪第1季 ,黄伟杰,赵丽颖 / 陈伟霆 / 吴奇隆 / 叶祖新 / 刘思彤,武侠 / 古装,中国大陆,10集已完结,2015-9-22,豆瓣：9.6 
16,17,(2015),电影,情敌蜜月 ,张林子,张雨绮 / 权相宇 / 霍建华 / 施予斐,喜剧 / 爱情,中国大陆,高清,2015-09-02(中国大陆),豆瓣：5.2 
17,18,(2014),电影,哆啦A梦：伴我同行 STAND BY ME ドラえもん ,八木龙一 / 山崎贵,水田山葵 / 大原惠美 / 嘉数由美 / 木村昴 / 关智一 / 妻夫木聪,剧情 / 动画,日本,高清中字,2015-05-28(中国大陆) / 2014-08-08(日本),豆瓣：8.0 
18,19,(2015),电影,头脑特工队 Inside Out ,彼特·道格特 / 罗纳尔多·德尔·卡门,艾米·波勒 / 菲利丝·史密斯 / 理查德·坎德 / 比尔·哈德尔 / 刘易斯·布莱克 / 敏迪·卡灵 / 凯特林·迪亚斯 / 戴安·琳恩 / 凯尔·麦克拉克伦 / 波拉·庞德斯通 / 鲍比·莫伊尼汉 / 保拉·佩尔 / 大卫·戈尔兹 / 弗兰克·奥兹 /,喜剧 / 动画 / 家庭 / 冒险,美国,高清中字,2015-10-06(中国大陆) / 2015-06-19(美国),豆瓣：8.8 
19,20,(2015),电影,西游记之大圣归来 ,田晓鹏,张磊 / 林子杰 / 吴文伦 / 童自荣 / 刘九容 / 吴迪 / 刘北辰 / 赵乾景 / 周帅,喜剧 / 动作 / 动画 / 奇幻,中国大陆,高清,2015-07-10(中国大陆),豆瓣：8.4 
20,21,(2015),电影,碟中谍5：神秘国度 Mission: Impossible - Rogue Nation ,克里斯托弗·麦奎里,汤姆·克鲁斯 / 杰瑞米·雷纳 / 西蒙·佩吉 / 丽贝卡·弗格森 / 文·瑞姆斯 / 西恩·哈里斯 / 西蒙·迈克伯尼 / 张静初 / 汤姆·霍兰德 / 延斯·赫尔腾 / 亚历克·鲍德温 / 亚历克·乌特戈夫 / 赫敏·科菲尔德 / 阿美莉嘉·奥利沃 /,动作 / 惊悚 / 冒险,美国 / 香港 / 中国大陆,高清中字,2015-09-08(中国大陆) / 2015-07-31(美国),豆瓣：7.8 
21,22,(2015),电影,复仇者联盟2：奥创纪元 Avengers: Age of Ultron ,乔斯·韦登,小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 马克·鲁弗洛 / 克里斯·埃文斯 / 斯嘉丽·约翰逊 / 杰瑞米·雷纳 / 詹姆斯·斯派德 / 塞缪尔·杰克逊 / 唐·钱德尔 / 亚伦·泰勒-约翰逊 / 伊丽莎白·奥尔森 / 保罗·贝坦尼 / 寇碧·史莫德斯,动作 / 科幻 / 奇幻 / 冒险,美国,高清中字,2015-05-12(中国大陆) / 2015-05-01(美国),豆瓣：7.1 
22,23,(2015),电影,名侦探柯南：业火的向日葵 名探偵コナン 業火の向日葵 ,静野孔文,高山南 / 山崎和佳奈 / 小山力也 / 山口胜平 / 荣仓奈奈 / 林原惠美 / 松井菜樱子 / 茶风林 / 绪方贤一 / 岩居由希子 / 高木涉 / 大谷育江 / 富田耕生,动画 / 悬疑 / 冒险,日本,高清中字,2015-10-23(中国大陆) / 2015-04-18(日本),豆瓣：5.6 
23,24,(2015),电影,捉妖记 ,许诚毅,白百何 / 井柏然 / 姜武 / 金燕玲 / 钟汉良 / 曾志伟 / 吴君如 / 汤唯 / 姚晨 / 闫妮 / 保剑锋 / 王栎鑫 / 郭晓冬 / 李菁菁 / 田雨橙 / 张悦轩,喜剧 / 奇幻 / 古装,中国大陆 / 香港,高清,2015-07-16(中国大陆),豆瓣：7.0 
24,25,(2015),电影,小黄人大眼萌 Minions ,凯尔·巴尔达 / 皮艾尔·柯芬,桑德拉·布洛克 / 乔恩·哈姆 / 迈克尔·基顿 / 艾莉森·珍妮 / 史蒂夫·库根 / 珍妮弗·桑德斯 / 杰弗里·拉什 / 史蒂夫·卡瑞尔 / 皮艾尔·柯芬 / 凯蒂·米克松 / 迈克尔·贝亚蒂 / 真田广之 / 大卫·罗森鲍姆 / 亚历克斯·道丁 /,喜剧 / 动画,美国,高清中字,2015-09-13(中国大陆) / 2015-07-10(美国),豆瓣：7.3 
25,26,(2015),电影,新步步惊心 ,宋迪,陈意涵 / 窦骁 / 杨祐宁 / 宋伊人 / 于波 / 成泰燊 / 杜志国 / 顾宝明 / 周骏超 / 莫合塔尔 / 杜玉明 / 郭虹,爱情 / 奇幻 / 古装,中国大陆,高清中字,2015-08-07(中国大陆),豆瓣：4.4 
26,27,(2015),电影,烈日灼心 ,曹保平,邓超 / 段奕宏 / 郭涛 / 王珞丹 / 吕颂贤 / 高虎,剧情 / 悬疑 / 犯罪,中国大陆,高清,2015-08-27(中国大陆) / 2015-06-15(上海电影节),豆瓣：7.9 
27,28,(2008),电影,功夫熊猫 Kung Fu Panda ,马克·奥斯本 / 约翰·斯蒂文森,杰克·布莱克 / 达斯汀·霍夫曼 / 安吉丽娜·朱莉 / 大卫·克罗斯 / 塞斯·罗根 / 成龙 / 刘玉玲 / 伊恩·麦柯肖恩 / 兰德尔·杜克·金,喜剧 / 动作 / 动画 / 冒险,美国,高清中字,2008-06-20(中国大陆) / 2008-05-15(戛纳电影节) / 2008-06-06(美国),豆瓣：7.9 
28,29,(2011),电影,功夫熊猫2 Kung Fu Panda 2 ,余仁英,杰克·布莱克 / 安吉丽娜·朱莉 / 杨紫琼 / 加里·奥德曼 / 成龙 / 塞斯·罗根 / 刘玉玲 / 大卫·克罗斯 / 詹姆斯·洪 / 达斯汀·霍夫曼 / 尚格·云顿 / 丹尼斯·海斯伯特 / 维克多·加博 / 丹尼·麦克布耐德,喜剧 / 动作 / 动画 / 冒险,美国,高清中字,2011-05-28(中国大陆) / 2011-05-26(美国),豆瓣：8.0 
29,30,(2015),电影,道士出山2：伏魔军团 ,张涛,彭禺厶 / 朱佳希 / 谭渤霖 / 金梓壑,,中国大陆,高清,2015-06-12,豆瓣：3.3 
30,31,(2000),电影,死神来了（全集） Final Destination ,黄毅瑜,戴文·萨瓦 / 艾丽·拉特 / 科尔·史密斯 / 克里森·克拉克 / 丹尼尔·洛巴克 / 罗杰·格午埃文·史密斯 / 查德·多纳拉 / 西恩·威廉·斯科特 / 托尼·托德 / 阿曼达·达特曼 / 布兰登·费尔 / Forbes Angus / Lisa M,悬疑 / 惊悚,美国 / 加拿大,高清中字,2000-03-17(美国),豆瓣：7.7 
31,32,(2007),电影,变形金刚 Transformers ,迈克尔·贝,希亚·拉博夫 / 梅根·福克斯 / 乔什·杜哈明 / 伯尼·麦克 / 强·沃特 / 泰瑞斯·吉布森 / 瑞切尔·泰勒 / 约翰·特托罗 / 约翰·罗宾森,动作 / 科幻,美国,高清国语,2007-07-11(中国大陆) / 2007-07-03(美国),豆瓣：8.1 
32,33,(2009),电影,变形金刚2 Transformers: Revenge of the Fallen ,迈克尔·贝,希亚·拉博夫 / 梅根·福克斯 / 乔什·杜哈明 / 雨果·维文 / 伊莎贝尔·卢卡斯 / 约翰·特托罗,动作 / 科幻,美国,高清中字,2009-06-24(中国大陆/美国) / 2009-06-19(英国),豆瓣：7.7 
33,34,(2011),电影,变形金刚3 Transformers: Dark of the Moon ,迈克尔·贝,希亚·拉博夫 / 罗茜·汉丁顿-惠特莉 / 乔什·杜哈明 / 泰瑞斯·吉布森 / 约翰·马尔科维奇 / 弗兰西斯·麦克多蒙德 / 肯·郑 / 凯文·杜恩 / 朱丽叶·怀特 / 帕特里克·德姆西 / 艾伦·图代克,动作 / 科幻,美国,高清中字,2011-07-21(中国大陆) / 2011-06-29(美国),豆瓣：7.1 
34,35,(2014),电影,变形金刚4：绝迹重生 Transformers: Age of Extinction ,迈克尔·贝,马克·沃尔伯格 / 斯坦利·图齐 / 凯尔希·格兰莫 / 妮可拉·佩尔茨 / 杰克·莱诺 / 提图斯·维里沃 / 索非亚·迈尔斯 / 李冰冰 / T·J·米勒 / 彼特·库伦 / 约翰·迪·玛吉欧 / 罗伯特·福克沃斯 / 约翰·古德曼 / 马克·瑞安 /,动作 / 科幻,美国 / 中国大陆,高清中字,2014-06-27(美国/中国大陆) / 2014-06-19(香港首映),豆瓣：6.6 
35,36,(2015),电影,速度与激情7 Fast & Furious 7 ,温子仁,范·迪塞尔 / 保罗·沃克 / 杰森·斯坦森 / 米歇尔·罗德里格兹 / 乔丹娜·布鲁斯特 / 泰瑞斯·吉布森 / 卢达克里斯 / 道恩·强森 / 卢卡斯·布莱克 / 库尔特·拉塞尔 / 娜塔莉·伊曼纽尔 / 埃尔莎·帕塔奇 / 盖尔·加朵 / 约翰·布罗,动作 / 犯罪,美国 / 中国大陆 / 日本,高清中字,2015-04-12(中国大陆) / 2015-04-03(美国),豆瓣：8.4 
36,37,(2015),电影,道士下山 ,陈凯歌,王宝强 / 郭富城 / 张震 / 林志玲 / 范伟 / 元华 / 王学圻 / 吴建豪 / 陈国坤 / 林雪 / 董琦 / 李雪健 / 田壮壮 / 陈虎 / 房祖名,喜剧 / 动作 / 奇幻 / 冒险 / 武侠 / 古装,中国大陆 / 美国,高清,2015-07-03(中国大陆),豆瓣：5.4 
37,38,(2015),电影,末日崩塌 San Andreas ,布拉德·佩顿,道恩·强森 / 亚历珊德拉·达达里奥 / 卡拉·古奇诺 / 雨果·约翰斯通-伯特 / 雅奇·潘嘉比 / 科尔顿·海恩斯 / 艾恩·格拉法德 / 保罗·吉亚玛提 / 凯莉·米洛 / 李威尹 / 瓦内萨·罗斯 / 马特·杰拉德 / 阿特·帕金森 / 罗宾·阿特,动作 / 冒险 / 灾难,美国 / 澳大利亚,高清中字,2015-06-02(中国大陆) / 2015-05-29(美国),豆瓣：7.1 
38,39,(2015),综合,中国好声音 第四季 ,金磊,周杰伦 / 那英 / 汪峰 / 庾澄庆 / 华少,音乐 / 真人秀,中国大陆,更新至14集 / 共15集,2015-07-17(中国大陆),豆瓣：6.0 
39,40,(2015),午夜,工作女郎 워킹걸 ,郑凡植,赵汝贞 / 李成敏 / 金太祐 / 金宝妍 / 罗美兰 / 金基天 / 赵在允 / 高庚杓,喜剧,韩国,高清中字,2015-01-07(韩国),豆瓣：6.5 
40,41,(2015),午夜,爱的健身房 환타스틱 러브짐 ,Han Woo-jin,,喜剧,韩国,高清中字,2015-10-07(韩国),豆瓣：0.0 
41,42,(2001),午夜,没穿内裤的领队 沒穿內褲的領隊 ,新田栄,夏目衣織/山口玲子/鏡麗子/城春樹/兵頭未来洋,情色,日本,高清中字,,豆瓣：0.0 
42,43,(2015),午夜,聚会的目的 동창회의 목적 ,정대만,조인우 / 김유연,剧情 / 情色,韩国,高清中字,2015-07-22(韩国),豆瓣：4.8 
43,44,(2015),午夜,好女孩 착한 여자 ,경석호,이연서 / 박건후,剧情 / 情色,韩国,高清无字幕,2015-03-25(韩国),豆瓣：3.6 
44,45,(2012),电影,死亡录像3：创世纪 [REC]³ Génesis ,Paco Plaza,拉蒂西亚·多瑞拉 / Diego Martín / Àlex Monner / Ana Isabel Velásquez / Mireia Ros / Ismael Martínez,喜剧 / 惊悚 / 恐怖,西班牙,高清中字,2012-03-30(西班牙),豆瓣：5.7 
45,46,(2015),电影,杀破狼2 殺破狼2 ,郑保瑞,吴京 / 托尼·贾 / 张晋 / 任达华 / 卢惠光 / 恭硕良 / 林嘉华 / 蔡瀚亿 / 艾威 / 姜皓文 / 张驰 / 寇占文 / 古天乐 / 袁嘉敏,剧情 / 动作 / 犯罪,香港 / 中国大陆,高清,2015-06-18(中国大陆),豆瓣：7.4 
46,47,(2015),福利,짱짱걸 winktv韩国女主播 ,짱짱걸 winktv,짱짱걸 winktv,青春 / 真人秀 / 福利 / 情色,韩国,高清DVD,,豆瓣：9.0 
47,48,(2015),音乐,瑶瑶骚麦 - 逗B瑶瑶 ,逗B瑶瑶,逗B瑶瑶,,中国大陆,高清,2015-10-25,豆瓣：6.0 
48,49,(2015),音乐,一人饮酒醉 - 小萱 ,小萱,小萱,神曲 / 音乐 / yy,中国大陆,高清,2015-10-26,豆瓣：8.4 
49,50,(2012),电影,泰迪熊 Ted ,塞思·麦克法兰,塞思·麦克法兰 / 马克·沃尔伯格 / 米拉·库尼斯 / 乔瓦尼·瑞比西 / 瑞恩·雷诺兹 / 诺拉·琼斯 / 乔尔·麦克哈尔,喜剧,美国,高清中字,2012-06-29(美国),豆瓣：7.0 
50,51,(2015),电影,泰迪熊2 Ted 2 ,塞思·麦克法兰,塞思·麦克法兰 / 马克·沃尔伯格 / 阿曼达·塞弗里德 / 杰西卡·巴斯 / 连姆·尼森 / 摩根·弗里曼 / 帕特里克·斯图尔特 / 杰·雷诺 / 吉米·坎摩尔 / 鲍比·莫伊尼汉 / 凯特·麦克金农 / 塔兰·基拉姆 / 乔瓦尼·瑞比西 / 帕特里克,喜剧,美国,高清中字,2015-06-26(美国),豆瓣：6.5 
51,52,(2015),音乐,吸血鬼 - 李雪薇 ,李雪薇 / 毒药,李雪薇 / 毒药,神曲 / 音乐 / yy / 毒药,中国大陆,更新至0集 / 共1集,2015-1-20,豆瓣：8.4 
52,53,(2012),电影,听风者 ,麦兆辉 / 庄文强,梁朝伟 / 周迅 / 范晓萱 / 王学兵 / 董勇 / 甘婷婷 / 单立文,剧情 / 悬疑,中国大陆 / 香港,高清,2012-08-07(中国大陆),豆瓣：6.8 
53,54,(2013),电影,朋友2 친구2 ,郭暻泽,刘五性 / 朱镇模 / 金宇彬 / 张英南 / 纪柱峰 / 姜汉娜,动作,韩国,高清中字,2013-11-14(韩国),豆瓣：6.5 
54,55,(2015),电影,战狼 ,吴京,吴京 / 余男 / 斯科特·阿金斯 / 凯文·李 / 倪大红 / 凯尔·夏皮罗 / 石兆琪 / 周晓鸥 / 房子斌 / 郭广平 / 茹萍 / 洪卫 / 刘腾远 / 索纳·伊姆贝 / 塞缪尔·西维尔奇,动作 / 战争,中国大陆,高清国语,2015-04-02(中国大陆),豆瓣：7.0 
55,56,(2015),电影,女人是老虎 ,邓国庆,张凯 / 阳蕾 / 黄一飞,,中国大陆,高清,,豆瓣：0.0 
56,57,(2015),电影,侏罗纪世界 Jurassic World ,科林·特雷沃罗,克里斯·普拉特 / 布莱丝·达拉斯·霍华德 / 文森特·多诺费奥 / 泰·辛普金斯 / 尼克·罗宾森 / 奥玛·赛 / 黄荣亮 / 伊尔凡·可汗 / 朱迪·格雷尔 / 杰克·约翰逊 / 劳伦·拉普库斯 / 凯蒂·麦克格拉思 / 布莱恩·泰 / 埃迪·J.费,动作 / 科幻 / 冒险,美国 / 中国大陆,高清中字,2015-06-10(中国大陆) / 2015-06-12(美国),豆瓣：7.8 
57,58,(2015),电影,明日世界 Tomorrowland ,布拉德·伯德,布丽特·罗伯森 / 乔治·克鲁尼 / 拉菲·卡西迪 / 休·劳瑞 / 托马斯·罗宾逊 / 皮尔斯·加格农 / 蒂姆·麦格罗 / 朱迪·格雷尔 / 凯瑟琳·哈恩 / 科甘·迈克尔·凯 / 洛奇林·莫罗 / 阿莉娅·奥伯里恩 / 达伦·萨赫拉维 / 迈克尔·罗,动作 / 科幻 / 冒险,美国 / 西班牙,高清中字,2015-05-26(中国大陆) / 2015-05-22(美国),豆瓣：6.3 
58,59,(2015),电影,疯狂夺爱 ,丁玉凯,郜玄铭 / 杨润坤 / 花婧轩 / 刘小乔 / 周凯,,中国大陆,高清中字,,豆瓣：0.0 
59,60,(2001),电影,速度与激情 The Fast and the Furious ,罗伯·科恩,范·迪塞尔 / 保罗·沃克 / 乔丹娜·布鲁斯特 / 米歇尔·罗德里格兹 / 尹成植 / 查德·林德伯格 / 强尼·斯特朗 / 马特·斯查尔兹 / 泰德·拉文 / 杰·鲁 / 维托·鲁吉尼斯 / 汤姆·巴瑞 / 诺尔·古格雷米,动作 / 惊悚 / 犯罪,美国 / 德国,高清中字,2001-06-22(美国),豆瓣：7.6 
60,61,(2003),电影,速度与激情2 2 Fast 2 Furious ,约翰·辛格顿,保罗·沃克 / 泰瑞斯·吉布森 / 伊娃·门德斯 / 科尔·豪瑟 / 卢达克里斯 / 汤姆·巴瑞 / 詹姆斯·瑞马尔 / 戴文青木 / 阿莫里·诺拉斯科 / 迈克尔·伊雷 / 欧阳靖 / 爱德华多·芬莱 / 小马克·布恩 / 莫·加里尼 / 罗伯托‘桑斯’,动作 / 惊悚 / 犯罪,美国 / 德国,高清中字,2003-06-03(美国),豆瓣：7.1 
61,62,(2006),电影,速度与激情3：东京漂移 The Fast and the Furious: Tokyo Drift ,林诣彬,卢卡斯·布莱克 / 宝娃 / 扎切里·泰·布莱恩 / 纳塔莉·凯利 / 布莱恩·古德曼 / 姜成镐 / 布莱恩·泰 / 妻夫木聪 / 北川景子 / 千叶真一 / 范·迪塞尔 / 真木阳子,剧情 / 动作 / 惊悚 / 犯罪,美国 / 德国,高清中字,2006-06-16(美国),豆瓣：6.6 
62,63,(2009),电影,速度与激情4 Fast & Furious ,林诣彬,范·迪塞尔 / 保罗·沃克 / 米歇尔·罗德里格兹 / 乔丹娜·布鲁斯特 / 盖尔·加朵 / 约翰·奥提兹 /  拉兹·阿隆索 / 谢伊·惠格姆 / 莉萨·拉皮拉 / 姜成镐 / 格雷格·西佩斯,剧情 / 动作 / 惊悚 / 犯罪,美国,高清中字,2009-04-15(中国大陆) / 2009-04-03(美国),豆瓣：7.6 
63,64,(2011),电影,速度与激情5 Fast Five ,林诣彬,范·迪塞尔 / 保罗·沃克 / 道恩·强森 / 乔丹娜·布鲁斯特 / 泰瑞斯·吉布森 / 卢达克里斯 / 马特·斯查尔兹 / 姜成镐 / 盖尔·加朵 / 埃尔莎·帕塔奇 / 乔昆姆·德·阿尔梅达 / 迈克尔·埃尔比,剧情 / 动作 / 惊悚 / 犯罪,美国,高清中字,2011-05-12(中国大陆) / 2011-04-29(美国),豆瓣：8.4 
64,65,(2013),电影,速度与激情6 Furious 6 ,林诣彬,范·迪塞尔 / 保罗·沃克 / 卢克·伊万斯 / 道恩·强森 / 米歇尔·罗德里格兹 / 吉娜·卡拉诺 / 盖尔·加朵 / 杰森·斯坦森 / 埃尔莎·帕塔奇 / 乔丹娜·布鲁斯特 / 姜成镐 / 泰瑞斯·吉布森 / 卢达克里斯,剧情 / 动作 / 惊悚 / 犯罪,美国,高清中字,2013-07-26(中国大陆) / 2013-05-24(美国),豆瓣：7.7 
65,66,(2009),电视剧,生死线 ,张译 / 廖凡 / 李晨 / 杨烁 / 吕夏 / 王黎雯 / 方慧 / 赵达 / 刘天佐 / 罗京民 / 倪大红 / 高子沣 / 任帅 / 岳旸,孔笙,剧情 / 战争,中国大陆,48集已完结,2009-09-19(中国大陆),豆瓣：9.0 
66,67,(2014),电影,银河护卫队 Guardians of the Galaxy ,詹姆斯·古恩,克里斯·普拉特 / 佐伊·索尔达娜 / 布莱德利·库珀 / 范·迪塞尔 / 戴夫·巴蒂斯塔 / 李·佩斯 / 迈克尔·鲁克 / 凯伦·吉兰 / 杰曼·翰苏 / 本尼西奥·德尔·托罗 / 约翰·C·赖利 / 格伦·克洛斯 / 劳拉·哈德克 / 肖恩·冈 /,喜剧 / 动作 / 科幻 / 冒险,美国 / 英国,高清中字,2014-10-10(中国大陆) / 2014-07-21(洛杉矶首映) / 2014-08-01(美国),豆瓣：8.0 
67,68,(2015),电影,内在美 뷰티 인사이드 ,白宗烈,韩孝珠 / 金大明 / 度智涵 / 朴信惠 / 李凡秀 / 朴叙俊 / 金相浩 / 千禹熙 / 赵达焕 / 李阵郁 / 徐康俊 / 李东旭 / 高雅星 / 金柱赫 / 柳演锡 / 上野树里 / 文淑 / 申东美 / 李在浚 / 李玹雨 / 金熙元,爱情,韩国,高清中字,2015-08-20(韩国),豆瓣：7.5 
68,69,(2013),午夜,幸福出租车 소원택시 ,박창진,金善英 / 吴仁惠 / 韩素英,剧情 / 喜剧,韩国,高清中字,2013-10-24,豆瓣：4.3 
69,70,(2015),福利,韩红骂脏话，我去年买了个表@ ,韩红,韩红,搞笑 / 音乐,中国大陆,更新至0集 / 共1集,2015-10-27,豆瓣：8.4 
70,71,(2004),电影,心慌方·零 Cube Zero ,厄尼·巴巴拉什,扎卡里·贝内特 / David Huband / 史蒂芬·穆尔 / Martin Roach / Terri Hawkes / 迈克尔·莱利,剧情 / 科幻 / 恐怖,加拿大,高清中字,2004-12-16(泰国),豆瓣：7.0 
71,72,(1997),电影,心慌方 Cube ,文森佐·纳塔利,妮可·德波儿 / Nicky Guadagni / 大卫·休莱特 / 安德鲁·米勒 / 毛里斯·迪恩·温特 / 韦恩·罗布森,剧情 / 科幻 / 恐怖,加拿大,高清中字,1997-09-09(多伦多电影节),豆瓣：7.0 
72,73,(2002),电影,心慌方2：超立方体 Cube 2: Hypercube ,安德列·塞库拉,卡瑞·玛切特 / 格兰特·维恩·戴维斯 / Grace Lynn Kung / Matthew Ferguson,科幻 / 悬疑 / 惊悚 / 恐怖,加拿大,高清中字,2002-04-15(美国),豆瓣：6.7 
73,74,(2015),午夜,诱人的飞行 맛있는 비행 ,최상훈,신유주 / 손덕기,剧情 / 情色,韩国,高清中字,2015-10-22,豆瓣：8.4 
